mandi_pair,distance_km,fuel_needed_4kmpl,fuel_cost_95,toll,maintenance,hamali,crates_120piece_150perpiece,Kanta_300_per_mandi,Bhatta,Total expense,average_per_km,,
"From Uttar Pradesh-Barabanki-Safdarganj APMC to NCT of Delhi-Delhi-Fruit&Vegetable Market,Gazipur APMC",580,145,13775,2900,1740,1600,18000,600,780,39395,67.92241379,,
From Maharashtra-Chandrapur-Chandrapur(Ganjwad) APMC to Karnataka-Bangalore-Ramanagara APMC,1110,277.5,26362.5,5550,3330,1600,18000,600,1310,56752.5,51.12837838,,
"From Uttar Pradesh-Auraiya-Auraiya APMC to NCT of Delhi-Delhi-Fruit&Vegetable Market,Gazipur APMC",430,107.5,10212.5,2150,1290,1600,18000,600,630,34482.5,80.19186047,,
From Karnataka-Kolar-Mulabagilu APMC to Maharashtra-Pune-Pune(Manjri) APMC,1040,260,24700,5200,3120,1600,18000,600,1240,54460,52.36538462,,
From Punjab-Jalandhar-Jalandhar City(Jalandhar) APMC to Gujarat-Kheda-Nadiyad(Piplag) APMC,1260,315,29925,6300,3780,1600,18000,600,1460,61665,48.94047619,,
From Gujarat-Gir Somnath-Talalagir APMC to Punjab-Kapurthala-Phagwara APMC,1540,385,36575,7700,4620,1600,18000,600,1740,70835,45.99675325,,
From Uttar Pradesh-Gonda-Nawabganj APMC to Punjab-Kapurthala-Phagwara APMC,1010,252.5,23987.5,5050,3030,1600,18000,600,1210,53477.5,52.9480198,,
"From Gujarat-Bharuch-Bharuch APMC to Karnataka-Bangalore-Binny Mill (F&V), Bangalore APMC",1310,327.5,31112.5,6550,3930,1600,18000,600,1510,63302.5,48.32251908,,
From Rajasthan-Sikar-Sikar APMC to Gujarat-Kheda-Nadiyad(Piplag) APMC,810,202.5,19237.5,4050,2430,1600,18000,600,1010,46927.5,57.93518519,,
From Uttar Pradesh-Auraiya-Auraiya APMC to Punjab-Kapurthala-Phagwara APMC,860,215,20425,4300,2580,1600,18000,600,1060,48565,56.47093023,,
From Haryana-Hissar-Hansi APMC to Gujarat-Porbandar-Porbandar APMC,1410,352.5,33487.5,7050,4230,1600,18000,600,1610,66577.5,47.21808511,,
From Gujarat-Bharuch-Ankleshwar APMC to Punjab-Bhatinda-Bathinda APMC,1260,315,29925,6300,3780,1600,18000,600,1460,61665,48.94047619,,
From Uttar Pradesh-Mirzapur-Ahirora APMC to Haryana-Fatehabad-Ratia APMC,1010,252.5,23987.5,5050,3030,1600,18000,600,1210,53477.5,52.9480198,,
From Karnataka-Kolar-Chintamani APMC to Gujarat-Navsari-Navsari APMC,1210,302.5,28737.5,6050,3630,1600,18000,600,1410,60027.5,49.60950413,,
From Gujarat-Gir Somnath-Talalagir APMC to Andhra Pradesh-Chittor-Punganur APMC,1680,420,39900,8400,5040,1600,18000,600,1880,75420,44.89285714,,
From Maharashtra-Amarawati-Amrawati(Frui & Veg. Market) APMC to Maharashtra-Nagpur-Hingna APMC,160,40,3800,800,480,1600,18000,600,360,25640,160.25,,
From Andhra Pradesh-Kurnool-Pattikonda APMC to Andhra Pradesh-Chittor-Palamaner APMC,410,102.5,9737.5,2050,1230,1600,18000,600,610,33827.5,82.50609756,,
From Punjab-Jalandhar-Jalandhar City(Jalandhar) APMC to Uttar Pradesh-Pratapgarh-Pratapgarh APMC,910,227.5,21612.5,4550,2730,1600,18000,600,1110,50202.5,55.16758242,,
From Uttar Pradesh-Kannuj-Kannauj APMC to Gujarat-Porbandar-Porbandar APMC,1410,352.5,33487.5,7050,4230,1600,18000,600,1610,66577.5,47.21808511,,
