mandi_pair,distance_km,fuel_needed_4kmpl,fuel_cost_95,toll,maintenance,hamali,crates_120piece_150perpiece,Kanta_300_per_mandi,Bhatta,Total expense,average_per_km,,
"From Gujarat-Anand-Anand(Veg,Yard,Anand) APMC to Punjab-Ludhiana-Khanna APMC",1245,311.25,29568.75,6225,3735,1600,18000,600,1445,61173.75,49.13554217,,
From Andhra Pradesh-Annamayya-Valmikipuram APMC to Gujarat-Ahmedabad-Ahmedabad APMC,1530,382.5,36337.5,7650,4590,1600,18000,600,1730,70507.5,46.08333333,,
From Maharashtra-Nashik-Pimpalgaon APMC to Karnataka-Chikmagalur-Chikkamagalore APMC,940,235,22325,4700,2820,1600,18000,600,1140,51185,54.45212766,,
From Uttar Pradesh-Pratapgarh-Pratapgarh APMC to Gujarat-Rajkot-Rajkot(Veg.Sub Yard) APMC,1485,371.25,35268.75,7425,4455,1600,18000,600,1685,69033.75,46.48737374,,
From Uttar Pradesh-Azamgarh-Azamgarh APMC to Haryana-Sonipat-Sonepat APMC,915,228.75,21731.25,4575,2745,1600,18000,600,1115,50366.25,55.04508197,,
"From Gujarat-Anand-Anand(Veg,Yard,Anand) APMC to Punjab-Pathankot-Pathankot APMC",1420,355,33725,7100,4260,1600,18000,600,1620,66905,47.11619718,,
From Gujarat-Dahod-Dahod(Veg. Market) APMC to Maharashtra-Pune-Pune(Manjri) APMC,585,146.25,13893.75,2925,1755,1600,18000,600,785,39558.75,67.62179487,,
From Maharashtra-Nashik-Nasik APMC to Maharashtra-Pune-Pune(Moshi) APMC,210,52.5,4987.5,1050,630,1600,18000,600,410,27277.5,129.8928571,,
From Uttar Pradesh-Balrampur-Balrampur APMC to Haryana-Sonipat-Sonepat APMC,715,178.75,16981.25,3575,2145,1600,18000,600,915,43816.25,61.28146853,,
From Maharashtra-Pune-Pune(Moshi) APMC to Maharashtra-Nagpur-Nagpur APMC,730,182.5,17337.5,3650,2190,1600,18000,600,930,44307.5,60.69520548,,
From Rajasthan-Ajmer-Ajmer(F&V) APMC to Rajasthan-Jodhpur-Jodhpur (F&V) APMC,205,51.25,4868.75,1025,615,1600,18000,600,405,27113.75,132.2621951,,
From Gujarat-Bharuch-Bharuch APMC to Maharashtra-Satara-Vai APMC,525,131.25,12468.75,2625,1575,1600,18000,600,725,37593.75,71.60714286,,
From Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC to Maharashtra-Mumbai-Mumbai APMC,565,141.25,13418.75,2825,1695,1600,18000,600,765,38903.75,68.85619469,,
From Punjab-Patiala-Patran APMC to Rajasthan-Alwar-Alwar APMC,345,86.25,8193.75,1725,1035,1600,18000,600,545,31698.75,91.88043478,,
From Maharashtra-Chattrapati Sambhajinagar-Chattrapati Sambhajinagar APMC to Karnataka-Hassan-Hassan APMC,965,241.25,22918.75,4825,2895,1600,18000,600,1165,52003.75,53.88989637,,
From Maharashtra-Kolhapur-Kolhapur APMC to Maharashtra-Pune-Pune(Manjri) APMC,235,58.75,5581.25,1175,705,1600,18000,600,435,28096.25,119.5585106,,
From Punjab-Jalandhar-Jalandhar City(Jalandhar) APMC to NCT of Delhi-Delhi-Azadpur APMC,380,95,9025,1900,1140,1600,18000,600,580,32845,86.43421053,,
From Karnataka-Kolar-Chintamani APMC to Maharashtra-Pune-Pune(Moshi) APMC,880,220,20900,4400,2640,1600,18000,600,1080,49220,55.93181818,,
From Haryana-Rewari-Rewari APMC to Haryana-Gurgaon-Pataudi APMC,35,8.75,831.25,175,105,1600,18000,600,235,21546.25,615.6071429,,
From Gujarat-Vadodara(Baroda)-Padra APMC to Gujarat-Kheda-Nadiyad(Piplag) APMC,70,17.5,1662.5,350,210,1600,18000,600,270,22692.5,324.1785714,,
From Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC to Haryana-Kurukshetra-Thanesar APMC,1215,303.75,28856.25,6075,3645,1600,18000,600,1415,60191.25,49.54012346,,
From Maharashtra-Ahmednagar-Sangamner APMC to Haryana-Hissar-Barwala(Hisar) APMC,1415,353.75,33606.25,7075,4245,1600,18000,600,1615,66741.25,47.16696113,,
"From Andhra Pradesh-Chittor-Punganur APMC to NCT of Delhi-Delhi-Fruit&Vegetable Market,Gazipur APMC",2150,537.5,51062.5,10750,6450,1600,18000,600,2350,90812.5,42.23837209,,
From Maharashtra-Chandrapur-Chandrapur(Ganjwad) APMC to Maharashtra-Pune-Pune(Moshi) APMC,780,195,18525,3900,2340,1600,18000,600,980,45945,58.90384615,,
From Rajasthan-Ajmer-Ajmer(F&V) APMC to Haryana-Bhiwani-Ch. Dadri APMC,345,86.25,8193.75,1725,1035,1600,18000,600,545,31698.75,91.88043478,,
From Punjab-Ludhiana-Ludhiana APMC to Uttar Pradesh-Balrampur-Balrampur APMC,965,241.25,22918.75,4825,2895,1600,18000,600,1165,52003.75,53.88989637,,
From Gujarat-Navsari-Navsari APMC to Punjab-Ropar (Rupnagar)-Ropar APMC,1410,352.5,33487.5,7050,4230,1600,18000,600,1610,66577.5,47.21808511,,
From Karnataka-Shimoga-Shimoga APMC to Karnataka-Chikmagalur-Chikkamagalore APMC,105,26.25,2493.75,525,315,1600,18000,600,305,23838.75,227.0357143,,
From Uttar Pradesh-Barabanki-Safdarganj APMC to Haryana-Sirsa-Sirsa APMC,815,203.75,19356.25,4075,2445,1600,18000,600,1015,47091.25,57.78067485,,
From Uttar Pradesh-Pratapgarh-Pratapgarh APMC to Gujarat-Porbandar-Porbandar APMC,1720,430,40850,8600,5160,1600,18000,600,1920,76730,44.61046512,,
From Punjab-Patiala-Patiala APMC to Rajasthan-Hanumangarh-HanumangarhTown APMC,265,66.25,6293.75,1325,795,1600,18000,600,465,29078.75,109.7311321,,
From Uttar Pradesh-Pratapgarh-Pratapgarh APMC to Punjab-Kapurthala-Phagwara APMC,1015,253.75,24106.25,5075,3045,1600,18000,600,1215,53641.25,52.84852217,,
From Maharashtra-Amarawati-Amrawati(Frui & Veg. Market) APMC to Haryana-Fatehabad-Fatehabad APMC,1465,366.25,34793.75,7325,4395,1600,18000,600,1665,68378.75,46.67491468,,
From Maharashtra-Nashik-Nasik APMC to Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC,505,126.25,11993.75,2525,1515,1600,18000,600,705,36938.75,73.1460396,,
"From Gujarat-Anand-Anand(Veg,Yard,Anand) APMC to Rajasthan-Jodhpur-Jodhpur (F&V) APMC",575,143.75,13656.25,2875,1725,1600,18000,600,775,39231.25,68.22826087,,
From Maharashtra-Sholapur-Solapur APMC to Karnataka-Hassan-Hassan APMC,775,193.75,18406.25,3875,2325,1600,18000,600,975,45781.25,59.07258065,,
From Maharashtra-Nagpur-Hingna APMC to Haryana-Kurukshetra-Thanesar APMC,1415,353.75,33606.25,7075,4245,1600,18000,600,1615,66741.25,47.16696113,,
From Maharashtra-Pune-Pune(Moshi) APMC to Gujarat-Navsari-Navsari APMC,345,86.25,8193.75,1725,1035,1600,18000,600,545,31698.75,91.88043478,,
From Gujarat-Gir Somnath-Talalagir APMC to Haryana-Sonipat-Sonepat APMC,1365,341.25,32418.75,6825,4095,1600,18000,600,1565,65103.75,47.69505495,,
From Gujarat-Surat-Surat APMC to Gujarat-Ahmedabad-Ahmedabad APMC,270,67.5,6412.5,1350,810,1600,18000,600,470,29242.5,108.3055556,,
"From Haryana-Gurgaon-Gurgaon APMC to Haryana-Faridabad-New Grain Market , Faridabad APMC",40,10,950,200,120,1600,18000,600,240,21710,542.75,,
From Karnataka-Kolar-Chintamani APMC to Maharashtra-Nagpur-Hingna APMC,1065,266.25,25293.75,5325,3195,1600,18000,600,1265,55278.75,51.90492958,,
From Andhra Pradesh-Chittor-Kalikiri APMC to Gujarat-Porbandar-Porbandar APMC,1910,477.5,45362.5,9550,5730,1600,18000,600,2110,82952.5,43.43062827,,
From Uttar Pradesh-Kannuj-Kannauj APMC to Haryana-Faridabad-Ballabhgarh APMC,425,106.25,10093.75,2125,1275,1600,18000,600,625,34318.75,80.75,,
From Maharashtra-Nashik-Pimpalgaon APMC to Haryana-Hissar-Barwala(Hisar) APMC,1425,356.25,33843.75,7125,4275,1600,18000,600,1625,67068.75,47.06578947,,
"From Gujarat-Surat-Surat APMC to Haryana-Karnal-New Grain Market(main), Karnal APMC",1315,328.75,31231.25,6575,3945,1600,18000,600,1515,63466.25,48.26330798,,
"From Andhra Pradesh-Chittor-Madanapalli APMC to NCT of Delhi-Delhi-Fruit&Vegetable Market,Gazipur APMC",2150,537.5,51062.5,10750,6450,1600,18000,600,2350,90812.5,42.23837209,,
From Punjab-Ludhiana-Ludhiana APMC to Uttar Pradesh-Bahraich-Bahraich APMC,915,228.75,21731.25,4575,2745,1600,18000,600,1115,50366.25,55.04508197,,
From Maharashtra-Chandrapur-Chandrapur(Ganjwad) APMC to Maharashtra-Nagpur-Kamthi APMC,180,45,4275,900,540,1600,18000,600,380,26295,146.0833333,,
From Karnataka-Shimoga-Shimoga APMC to Maharashtra-Pune-Pune(Manjri) APMC,685,171.25,16268.75,3425,2055,1600,18000,600,885,42833.75,62.5310219,,
From Maharashtra-Satara-Satara APMC to Maharashtra-Mumbai-Mumbai APMC,255,63.75,6056.25,1275,765,1600,18000,600,455,28751.25,112.75,,
From Uttar Pradesh-Kannuj-Kannauj APMC to Uttar Pradesh-Balrampur-Balrampur APMC,305,76.25,7243.75,1525,915,1600,18000,600,505,30388.75,99.6352459,,
From Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC to Karnataka-Chikmagalur-Chikkamagalore APMC,1515,378.75,35981.25,7575,4545,1600,18000,600,1715,70016.25,46.21534653,,
From Andhra Pradesh-Chittor-Punganur APMC to Punjab-Kapurthala-Phagwara APMC,2580,645,61275,12900,7740,1600,18000,600,2780,104895,40.65697674,,
From Gujarat-Surat-Surat APMC to Haryana-Sonipat-Sonepat APMC,1215,303.75,28856.25,6075,3645,1600,18000,600,1415,60191.25,49.54012346,,
"From Gujarat-Anand-Anand(Veg,Yard,Anand) APMC to Haryana-Sonipat-Gohana APMC",1125,281.25,26718.75,5625,3375,1600,18000,600,1325,57243.75,50.88333333,,
From Rajasthan-Udaipur-Udaipur (F&V) APMC to Haryana-Fatehabad-Ratia APMC,775,193.75,18406.25,3875,2325,1600,18000,600,975,45781.25,59.07258065,,
From Punjab-Ludhiana-Ludhiana APMC to Uttar Pradesh-Bareilly-Bareilly APMC,575,143.75,13656.25,2875,1725,1600,18000,600,775,39231.25,68.22826087,,
"From Uttar Pradesh-Raebarelli-Salon APMC to NCT of Delhi-Delhi-Fruit&Vegetable Market,Gazipur APMC",625,156.25,14843.75,3125,1875,1600,18000,600,825,40868.75,65.39,,
From Maharashtra-Sholapur-Solapur APMC to Maharashtra-Chandrapur-Chandrapur(Ganjwad) APMC,635,158.75,15081.25,3175,1905,1600,18000,600,835,41196.25,64.87598425,,
From Rajasthan-Sikar-Sikar APMC to Uttar Pradesh-Auraiya-Auraiya APMC,575,143.75,13656.25,2875,1725,1600,18000,600,775,39231.25,68.22826087,,
From Andhra Pradesh-Chittor-Palamaner APMC to Andhra Pradesh-Chittor-Madanapalli APMC,90,22.5,2137.5,450,270,1600,18000,600,290,23347.5,259.4166667,,
From Gujarat-Surat-Surat APMC to Andhra Pradesh-Chittor-Palamaner APMC,1365,341.25,32418.75,6825,4095,1600,18000,600,1565,65103.75,47.69505495,,
From Haryana-Rewari-Rewari APMC to Gujarat-Surendranagar-Vadhvan APMC,915,228.75,21731.25,4575,2745,1600,18000,600,1115,50366.25,55.04508197,,
From Maharashtra-Nashik-Pimpalgaon APMC to Maharashtra-Satara-Vai APMC,315,78.75,7481.25,1575,945,1600,18000,600,515,30716.25,97.51190476,,
From Andhra Pradesh-Chittor-Punganur APMC to Andhra Pradesh-Chittor-Madanapalli APMC,30,7.5,712.5,150,90,1600,18000,600,230,21382.5,712.75,,
From Punjab-Ludhiana-Ludhiana APMC to Haryana-Sonipat-Sonepat APMC,280,70,6650,1400,840,1600,18000,600,480,29570,105.6071429,,
From Rajasthan-Ajmer-Ajmer(F&V) APMC to Punjab-Patiala-Patiala APMC,575,143.75,13656.25,2875,1725,1600,18000,600,775,39231.25,68.22826087,,
From Gujarat-Vadodara(Baroda)-Padra APMC to Andhra Pradesh-Annamayya-Valmikipuram APMC,1465,366.25,34793.75,7325,4395,1600,18000,600,1665,68378.75,46.67491468,,
From Punjab-Ludhiana-Khanna APMC to Rajasthan-Ganganagar-Sriganganagar (F&V) APMC,295,73.75,7006.25,1475,885,1600,18000,600,495,30061.25,101.9025424,,
From Punjab-Jalandhar-Jalandhar City(Jalandhar) APMC to Gujarat-Surat-Surat APMC,1520,380,36100,7600,4560,1600,18000,600,1720,70180,46.17105263,,
From Haryana-Hissar-Hissar APMC to Karnataka-Bangalore-Ramanagara APMC,2465,616.25,58543.75,12325,7395,1600,18000,600,2665,101128.75,41.02586207,,
From Maharashtra-Pune-Pune APMC to Maharashtra-Pune-Pune(Manjri) APMC,12,3,285,60,36,1600,18000,600,212,20793,1732.75,,
From Maharashtra-Sholapur-Solapur APMC to Maharashtra-Pune-Pune(Moshi) APMC,270,67.5,6412.5,1350,810,1600,18000,600,470,29242.5,108.3055556,,
From Uttar Pradesh-Kannuj-Kannauj APMC to Uttar Pradesh-Bahraich-Bahraich APMC,205,51.25,4868.75,1025,615,1600,18000,600,405,27113.75,132.2621951,,
From Rajasthan-Sikar-Sikar APMC to Uttar Pradesh-Barabanki-Barabanki APMC,675,168.75,16031.25,3375,2025,1600,18000,600,875,42506.25,62.97222222,,
From Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC to Maharashtra-Pune-Pune(Manjri) APMC,685,171.25,16268.75,3425,2055,1600,18000,600,885,42833.75,62.5310219,,
From Rajasthan-Sikar-Sikar APMC to NCT of Delhi-Delhi-Azadpur APMC,285,71.25,6768.75,1425,855,1600,18000,600,485,29733.75,104.3289474,,
From Maharashtra-Chandrapur-Chandrapur(Ganjwad) APMC to Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC,1115,278.75,26481.25,5575,3345,1600,18000,600,1315,56916.25,51.04596413,,
From Gujarat-Porbandar-Porbandar APMC to Haryana-Jhajar-Bahadurgarh APMC,1365,341.25,32418.75,6825,4095,1600,18000,600,1565,65103.75,47.69505495,,
From Andhra Pradesh-Annamayya-Valmikipuram APMC to Gujarat-Porbandar-Porbandar APMC,1920,480,45600,9600,5760,1600,18000,600,2120,83280,43.375,,
From Uttar Pradesh-Mathura-Kosikalan APMC to Gujarat-Kheda-Nadiyad(Piplag) APMC,965,241.25,22918.75,4825,2895,1600,18000,600,1165,52003.75,53.88989637,,
From Gujarat-Navsari-Navsari APMC to Punjab-Bhatinda-Bathinda APMC,1410,352.5,33487.5,7050,4230,1600,18000,600,1610,66577.5,47.21808511,,
From Andhra Pradesh-Kurnool-Pattikonda APMC to Gujarat-Vadodara(Baroda)-Padra APMC,1415,353.75,33606.25,7075,4245,1600,18000,600,1615,66741.25,47.16696113,,
From Maharashtra-Nagpur-Hingna APMC to Maharashtra-Mumbai-Mumbai APMC,825,206.25,19593.75,4125,2475,1600,18000,600,1025,47418.75,57.47727273,,
"From Uttar Pradesh-Banda-Banda APMC to NCT of Delhi-Delhi-Fruit&Vegetable Market,Gazipur APMC",585,146.25,13893.75,2925,1755,1600,18000,600,785,39558.75,67.62179487,,
From Haryana-Rewari-Rewari APMC to Rajasthan-Hanumangarh-HanumangarhTown APMC,335,83.75,7956.25,1675,1005,1600,18000,600,535,31371.25,93.64552239,,
From Gujarat-Dahod-Dahod(Veg. Market) APMC to Maharashtra-Nagpur-Kamthi APMC,775,193.75,18406.25,3875,2325,1600,18000,600,975,45781.25,59.07258065,,
From Gujarat-Morbi-Morbi APMC to Haryana-Jhajar-Bahadurgarh APMC,1115,278.75,26481.25,5575,3345,1600,18000,600,1315,56916.25,51.04596413,,
From Maharashtra-Pune-Khed(Chakan) APMC to Maharashtra-Nagpur-Nagpur APMC,745,186.25,17693.75,3725,2235,1600,18000,600,945,44798.75,60.13255034,,
From Andhra Pradesh-Chittor-Palamaner APMC to Gujarat-Ahmedabad-Ahmedabad APMC,1565,391.25,37168.75,7825,4695,1600,18000,600,1765,71653.75,45.78514377,,
From Karnataka-Kolar-Chintamani APMC to Maharashtra-Sangli-Islampur APMC,675,168.75,16031.25,3375,2025,1600,18000,600,875,42506.25,62.97222222,,
From Rajasthan-Udaipur-Udaipur (F&V) APMC to Gujarat-Surendranagar-Vadhvan APMC,405,101.25,9618.75,2025,1215,1600,18000,600,605,33663.75,83.12037037,,
From Maharashtra-Chandrapur-Chandrapur(Ganjwad) APMC to Maharashtra-Pune-Junnar(Narayangaon) APMC,875,218.75,20781.25,4375,2625,1600,18000,600,1075,49056.25,56.06428571,,
From Gujarat-Bharuch-Bharuch APMC to Karnataka-Chikmagalur-Chikkamagalore APMC,1265,316.25,30043.75,6325,3795,1600,18000,600,1465,61828.75,48.87648221,,
From Andhra Pradesh-Chittor-Palamaner APMC to Haryana-Jhajar-Bahadurgarh APMC,2215,553.75,52606.25,11075,6645,1600,18000,600,2415,92941.25,41.95993228,,
From Uttar Pradesh-Jaunpur-Jaunpur APMC to Haryana-Sirsa-Sirsa APMC,1115,278.75,26481.25,5575,3345,1600,18000,600,1315,56916.25,51.04596413,,
From Gujarat-Ahmedabad-Ahmedabad APMC to Gujarat-Kheda-Nadiyad(Piplag) APMC,55,13.75,1306.25,275,165,1600,18000,600,255,22201.25,403.6590909,,
From Maharashtra-Pune-Pune(Moshi) APMC to Maharashtra-Mumbai-Mumbai APMC,140,35,3325,700,420,1600,18000,600,340,24985,178.4642857,,
From Andhra Pradesh-Chittor-Punganur APMC to Rajasthan-Jaipur-Jaipur (F&V) APMC,1965,491.25,46668.75,9825,5895,1600,18000,600,2165,84753.75,43.13167939,,
From Maharashtra-Pune-Pune APMC to Haryana-Fatehabad-Fatehabad APMC,1615,403.75,38356.25,8075,4845,1600,18000,600,1815,73291.25,45.38157895,,
From Maharashtra-Amarawati-Amrawati(Frui & Veg. Market) APMC to Maharashtra-Pune-Pune(Manjri) APMC,605,151.25,14368.75,3025,1815,1600,18000,600,805,40213.75,66.46900826,,
From Andhra Pradesh-Chittor-Palamaner APMC to Gujarat-Porbandar-Porbandar APMC,1910,477.5,45362.5,9550,5730,1600,18000,600,2110,82952.5,43.43062827,,
From Gujarat-Dahod-Dahod(Veg. Market) APMC to Karnataka-Chamrajnagar-Gundlupet APMC,1465,366.25,34793.75,7325,4395,1600,18000,600,1665,68378.75,46.67491468,,
From Rajasthan-Udaipur-Udaipur (F&V) APMC to Uttar Pradesh-Lakhimpur-Lakhimpur APMC,1015,253.75,24106.25,5075,3045,1600,18000,600,1215,53641.25,52.84852217,,
From Gujarat-Morbi-Morbi APMC to Punjab-Kapurthala-Phagwara APMC,1365,341.25,32418.75,6825,4095,1600,18000,600,1565,65103.75,47.69505495,,
From Haryana-Sonipat-Sonepat APMC to Gujarat-Kheda-Nadiyad(Piplag) APMC,1115,278.75,26481.25,5575,3345,1600,18000,600,1315,56916.25,51.04596413,,
From Uttar Pradesh-Gonda-Nawabganj APMC to Gujarat-Rajkot-Rajkot(Veg.Sub Yard) APMC,1465,366.25,34793.75,7325,4395,1600,18000,600,1665,68378.75,46.67491468,,
From Haryana-Gurgaon-Gurgaon APMC to Haryana-Fatehabad-Ratia APMC,215,53.75,5106.25,1075,645,1600,18000,600,415,27441.25,127.6337209,,
"From Gujarat-Anand-Anand(Veg,Yard,Anand) APMC to Haryana-Rohtak-Rohtak APMC",1065,266.25,25293.75,5325,3195,1600,18000,600,1265,55278.75,51.90492958,,
From Rajasthan-Sikar-Sikar APMC to Gujarat-Vadodara(Baroda)-Padra APMC,685,171.25,16268.75,3425,2055,1600,18000,600,885,42833.75,62.5310219,,
From Haryana-Gurgaon-Gurgaon APMC to Haryana-Gurgaon-Pataudi APMC,35,8.75,831.25,175,105,1600,18000,600,235,21546.25,615.6071429,,
From Rajasthan-Sikar-Sikar APMC to Uttar Pradesh-Sitapur-Viswan APMC,775,193.75,18406.25,3875,2325,1600,18000,600,975,45781.25,59.07258065,,
From Maharashtra-Sholapur-Solapur APMC to Gujarat-Dahod-Dahod(Veg. Market) APMC,685,171.25,16268.75,3425,2055,1600,18000,600,885,42833.75,62.5310219,,
From Maharashtra-Nagpur-Hingna APMC to Haryana-Hissar-Barwala(Hisar) APMC,1465,366.25,34793.75,7325,4395,1600,18000,600,1665,68378.75,46.67491468,,
From Andhra Pradesh-Annamayya-Valmikipuram APMC to Haryana-Jhajar-Bahadurgarh APMC,2215,553.75,52606.25,11075,6645,1600,18000,600,2415,92941.25,41.95993228,,
From Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC to Maharashtra-Mumbai-Mumbai APMC,705,176.25,16743.75,3525,2115,1600,18000,600,905,43488.75,61.68617021,,
From Gujarat-Dahod-Dahod(Veg. Market) APMC to Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC,305,76.25,7243.75,1525,915,1600,18000,600,505,30388.75,99.6352459,,
From Uttar Pradesh-Mirzapur-Ahirora APMC to Gujarat-Navsari-Navsari APMC,1415,353.75,33606.25,7075,4245,1600,18000,600,1615,66741.25,47.16696113,,
From Maharashtra-Sholapur-Solapur APMC to Maharashtra-Pune-Khed(Chakan) APMC,295,73.75,7006.25,1475,885,1600,18000,600,495,30061.25,101.9025424,,
From Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC to Maharashtra-Nagpur-Nagpur APMC,1115,278.75,26481.25,5575,3345,1600,18000,600,1315,56916.25,51.04596413,,
From Uttar Pradesh-Auraiya-Auraiya APMC to Haryana-Kaithal-Kaithal APMC,585,146.25,13893.75,2925,1755,1600,18000,600,785,39558.75,67.62179487,,
From Gujarat-Navsari-Navsari APMC to Haryana-Kurukshetra-Thanesar APMC,1410,352.5,33487.5,7050,4230,1600,18000,600,1610,66577.5,47.21808511,,
"From Andhra Pradesh-Chittor-Punganur APMC to Haryana-Karnal-New Grain Market(main), Karnal APMC",2215,553.75,52606.25,11075,6645,1600,18000,600,2415,92941.25,41.95993228,,
From Uttar Pradesh-Auraiya-Auraiya APMC to Haryana-Hissar-Hansi APMC,535,133.75,12706.25,2675,1605,1600,18000,600,735,37921.25,70.88084112,,
From Maharashtra-Pune-Pune APMC to Maharashtra-Pune-Junnar(Narayangaon) APMC,90,22.5,2137.5,450,270,1600,18000,600,290,23347.5,259.4166667,,
From Maharashtra-Pune-Khed(Chakan) APMC to Karnataka-Bangalore-Ramanagara APMC,915,228.75,21731.25,4575,2745,1600,18000,600,1115,50366.25,55.04508197,,
From Maharashtra-Pune-Pune(Manjri) APMC to Haryana-Kurukshetra-Thanesar APMC,1665,416.25,39543.75,8325,4995,1600,18000,600,1865,74928.75,45.00225225,,
From Maharashtra-Pune-Khed(Chakan) APMC to Maharashtra-Mumbai-Mumbai APMC,145,36.25,3443.75,725,435,1600,18000,600,345,25148.75,173.4396552,,
From Haryana-Rewari-Rewari APMC to Punjab-Pathankot-Pathankot APMC,555,138.75,13181.25,2775,1665,1600,18000,600,755,38576.25,69.50675676,,
From Andhra Pradesh-Chittor-Punganur APMC to Gujarat-Morbi-Morbi APMC,1615,403.75,38356.25,8075,4845,1600,18000,600,1815,73291.25,45.38157895,,
From Maharashtra-Chandrapur-Chandrapur(Ganjwad) APMC to Rajasthan-Jaipur-Chomu FV APMC,1265,316.25,30043.75,6325,3795,1600,18000,600,1465,61828.75,48.87648221,,
From Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC to Karnataka-Bangalore-Ramanagara APMC,1665,416.25,39543.75,8325,4995,1600,18000,600,1865,74928.75,45.00225225,,
From Gujarat-Surat-Surat APMC to NCT of Delhi-Delhi-Keshopur APMC,1215,303.75,28856.25,6075,3645,1600,18000,600,1415,60191.25,49.54012346,,
From Punjab-Ludhiana-Ludhiana APMC to Haryana-Hissar-Hansi APMC,195,48.75,4631.25,975,585,1600,18000,600,395,26786.25,137.3653846,,
From Gujarat-Vadodara(Baroda)-Padra APMC to Gujarat-Rajkot-Rajkot(Veg.Sub Yard) APMC,305,76.25,7243.75,1525,915,1600,18000,600,505,30388.75,99.6352459,,
From Gujarat-Surat-Surat APMC to Haryana-Sirsa-Sirsa APMC,1265,316.25,30043.75,6325,3795,1600,18000,600,1465,61828.75,48.87648221,,
From Maharashtra-Nashik-Pimpalgaon APMC to Karnataka-Chamrajnagar-Gundlupet APMC,1115,278.75,26481.25,5575,3345,1600,18000,600,1315,56916.25,51.04596413,,
From Haryana-Gurgaon-Gurgaon APMC to Haryana-Rohtak-Rohtak APMC,80,20,1900,400,240,1600,18000,600,280,23020,287.75,,
From Andhra Pradesh-Chittor-Palamaner APMC to Haryana-Sonipat-Sonepat APMC,2215,553.75,52606.25,11075,6645,1600,18000,600,2415,92941.25,41.95993228,,
From Haryana-Panipat-Panipat APMC to Karnataka-Kolar-Srinivasapur APMC,2465,616.25,58543.75,12325,7395,1600,18000,600,2665,101128.75,41.02586207,,
From Rajasthan-Ajmer-Ajmer(F&V) APMC to Haryana-Rohtak-Rohtak APMC,375,93.75,8906.25,1875,1125,1600,18000,600,575,32681.25,87.15,,
"From Maharashtra-Nagpur-Nagpur APMC to Karnataka-Bangalore-Binny Mill (F&V), Bangalore APMC",1115,278.75,26481.25,5575,3345,1600,18000,600,1315,56916.25,51.04596413,,
"From Rajasthan-Jaipur-Jaipur (F&V) APMC to NCT of Delhi-Delhi-Fruit&Vegetable Market,Gazipur APMC",280,70,6650,1400,840,1600,18000,600,480,29570,105.6071429,,
From Andhra Pradesh-Chittor-Kalikiri APMC to Haryana-Jhajar-Bahadurgarh APMC,2215,553.75,52606.25,11075,6645,1600,18000,600,2415,92941.25,41.95993228,,
From Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC to Haryana-Fatehabad-Fatehabad APMC,1165,291.25,27668.75,5825,3495,1600,18000,600,1365,58553.75,50.26072961,,
From Karnataka-Kolar-Chintamani APMC to Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC,1615,403.75,38356.25,8075,4845,1600,18000,600,1815,73291.25,45.38157895,,
From Uttar Pradesh-Mirzapur-Ahirora APMC to Punjab-Pathankot-Pathankot APMC,1315,328.75,31231.25,6575,3945,1600,18000,600,1515,63466.25,48.26330798,,
From Maharashtra-Nagpur-Hingna APMC to Maharashtra-Satara-Vai APMC,825,206.25,19593.75,4125,2475,1600,18000,600,1025,47418.75,57.47727273,,
From Gujarat-Kheda-Nadiyad(Piplag) APMC to Haryana-Sonipat-Sonepat APMC,1065,266.25,25293.75,5325,3195,1600,18000,600,1265,55278.75,51.90492958,,
From Haryana-Rewari-Rewari APMC to Punjab-Bhatinda-Bathinda APMC,315,78.75,7481.25,1575,945,1600,18000,600,515,30716.25,97.51190476,,
From Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC to Haryana-Kurukshetra-Thanesar APMC,1015,253.75,24106.25,5075,3045,1600,18000,600,1215,53641.25,52.84852217,,
From Punjab-Ludhiana-Ludhiana APMC to Gujarat-Kheda-Nadiyad(Piplag) APMC,1265,316.25,30043.75,6325,3795,1600,18000,600,1465,61828.75,48.87648221,,
From Gujarat-Gir Somnath-Talalagir APMC to Uttar Pradesh-Sant Kabir Nagar-Khalilabad APMC,1765,441.25,41918.75,8825,5295,1600,18000,600,1965,78203.75,44.30807365,,
"From Gujarat-Anand-Anand(Veg,Yard,Anand) APMC to Punjab-Patiala-Patran APMC",1265,316.25,30043.75,6325,3795,1600,18000,600,1465,61828.75,48.87648221,,
From Punjab-Ludhiana-Khanna APMC to Punjab-Patiala-Patiala APMC,48,12,1140,240,144,1600,18000,600,248,21972,457.75,,
