"mandi_pair","analysis_grade","consecutive_months","avg_quantity_gap_MT","gross_price_advantage","loss_to_spoilage","net_price_advantage","distance_km","total_transport_cost","profit_per_trip"
From Maharashtra-Pune-Khed(Chakan) APMC to Haryana-Kurukshetra-Thanesar APMC,Local,4,18.162725746653813,17008.5,850.4250000000001,16158.075,1650,55800.0,-39641.925
From Andhra Pradesh-Kurnool-Pattikonda APMC to Uttar Pradesh-Pratapgarh-Pratapgarh APMC,FAQ,3,141.15597908080306,19860.6,993.03,18867.57,1750,59000.0,-40132.43
From Andhra Pradesh-Kurnool-Pattikonda APMC to Uttar Pradesh-Basti-Basti APMC,FAQ,3,158.41339243722413,20315.399999999998,1015.77,19299.629999999997,1765,59480.0,-40180.37
From Andhra Pradesh-Kurnool-Pattikonda APMC to Uttar Pradesh-Gorakhpur-Gorakhpur APMC,FAQ,3,74.42628019323672,21987.0,1099.3500000000001,20887.65,1815,61080.0,-40192.35
From Andhra Pradesh-Kurnool-Pattikonda APMC to Punjab-Kapurthala-Phagwara APMC,FAQ,3,145.08998058322246,39495.0,1974.75,37520.25,2340,77880.0,-40359.75
From Haryana-Panipat-Panipat APMC to Maharashtra-Sangli-Islampur APMC,Local,3,23.860073330145067,18200.399999999998,910.02,17290.379999999997,1710,57720.0,-40429.62
From Andhra Pradesh-Kurnool-Pattikonda APMC to Haryana-Hissar-Hansi APMC,FAQ,3,137.86357491208557,29001.0,1450.0500000000002,27550.95,2040,68280.0,-40729.05
From Andhra Pradesh-Kurnool-Pattikonda APMC to Haryana-Kaithal-Kaithal APMC,FAQ,3,138.80371497960695,26266.199999999997,1313.31,24952.889999999996,1960,65720.0,-40767.11
From Haryana-Panipat-Panipat APMC to Maharashtra-Ahmednagar-Ahmednagar APMC,Local,3,12.650785773366417,8005.199999999999,400.26,7604.939999999999,1425,48600.0,-40995.06
From Andhra Pradesh-Chittor-Punganur APMC to Gujarat-Navsari-Bilimora APMC,FAQ,3,75.51729870596692,8593.8,429.69,8164.11,1450,49400.0,-41235.89
From Andhra Pradesh-Kurnool-Pattikonda APMC to Haryana-Sirsa-Sirsa APMC,FAQ,3,147.99569182389936,31712.399999999998,1585.62,30126.78,2140,71480.0,-41353.22
From Maharashtra-Kolhapur-Kolhapur APMC to Haryana-Fatehabad-Fatehabad APMC,Local,3,16.90490196078431,20608.5,1030.425,19578.075,1815,61080.0,-41501.925
From Andhra Pradesh-Chittor-Palamaner APMC to Gujarat-Porbandar-Porbandar APMC,FAQ,3,22.556078950811095,23711.7,1185.585,22526.115,1910,64120.0,-41593.884999999995
From Karnataka-Kolar-Chintamani APMC to Haryana-Kurukshetra-Thanesar APMC,Local,6,60.975267266057614,36915.3,1845.7650000000003,35069.535,2320,77240.0,-42170.465
From Haryana-Panipat-Panipat APMC to Karnataka-Mysore-Nanjangud APMC,Local,3,21.263021181716837,43449.899999999994,2172.495,41277.40499999999,2520,83640.0,-42362.59500000001
From Andhra Pradesh-Annamayya-Valmikipuram APMC to Gujarat-Porbandar-Porbandar APMC,FAQ,4,39.6129284690367,23215.5,1160.775,22054.725,1920,64440.0,-42385.275
From Haryana-Panipat-Panipat APMC to Maharashtra-Satara-Satara APMC,Local,3,23.12333553580922,13298.7,664.9350000000001,12633.765000000001,1650,55800.0,-43166.235
From Karnataka-Kolar-Kolar APMC to Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC,Local,4,582.0147736204193,13006.8,650.34,12356.46,1650,55800.0,-43443.54
From Andhra Pradesh-Kurnool-Pattikonda APMC to Uttar Pradesh-Barabanki-Safdarganj APMC,FAQ,3,138.2033288877807,19723.800000000003,986.1900000000002,18737.610000000004,1850,62200.0,-43462.39
From Andhra Pradesh-Chittor-Punganur APMC to Haryana-Sonipat-Sonepat APMC,FAQ,3,41.13771442495126,31572.9,1578.6450000000002,29994.255,2215,73880.0,-43885.744999999995
From Andhra Pradesh-Chittor-Madanapalli APMC to Gujarat-Porbandar-Porbandar APMC,FAQ,3,87.53974195993106,19259.4,962.9700000000001,18296.43,1850,62200.0,-43903.57
"From Andhra Pradesh-Chittor-Punganur APMC to Haryana-Karnal-New Grain Market(main), Karnal APMC",FAQ,3,43.53792040023895,31521.300000000003,1576.0650000000003,29945.235000000004,2215,73880.0,-43934.765
From Haryana-Panipat-Panipat APMC to Maharashtra-Satara-Phaltan APMC,Local,3,26.759953703703705,9543.9,477.195,9066.705,1575,53400.0,-44333.295
From Punjab-Ludhiana-Ludhiana APMC to Gujarat-Gir Somnath-Talalagir APMC,FAQ,5,44.9847381263332,12045.9,602.295,11443.605,1650,55800.0,-44356.395000000004
From Maharashtra-Kolhapur-Kolhapur APMC to Haryana-Hissar-Hissar APMC,Local,6,10.05860790799066,18598.800000000003,929.9400000000002,17668.860000000004,1850,62200.0,-44531.14
From Karnataka-Kolar-Chintamani APMC to Haryana-Hissar-Barwala(Hisar) APMC,Local,4,33.69784965562023,27148.800000000003,1357.4400000000003,25791.360000000004,2120,70840.0,-45048.64
From Maharashtra-Kolhapur-Kolhapur APMC to Haryana-Hissar-Barwala(Hisar) APMC,Local,4,16.383404761904764,17913.3,895.665,17017.635,1850,62200.0,-45182.365000000005
From Rajasthan-Jaipur-Jaipur (F&V) APMC to Andhra Pradesh-Chittor-Madanapalli APMC,FAQ,3,59.71509698317917,21590.7,1079.535,20511.165,1965,65880.0,-45368.835
From Karnataka-Kolar-Chintamani APMC to Haryana-Fatehabad-Fatehabad APMC,Local,3,37.72654949121184,35537.7,1776.885,33760.814999999995,2380,79160.0,-45399.185000000005
From Andhra Pradesh-Kurnool-Pattikonda APMC to Uttar Pradesh-Sitapur-Viswan APMC,FAQ,3,151.12246151092015,17325.6,866.28,16459.32,1850,62200.0,-45740.68
From Andhra Pradesh-Kurnool-Pattikonda APMC to Uttar Pradesh-Azamgarh-Azamgarh APMC,FAQ,3,127.65514947847976,19542.6,977.13,18565.469999999998,1920,64440.0,-45874.53
From Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC to Karnataka-Kolar-Chickkaballapura APMC,Local,3,6.512209990090425,10179.9,508.995,9670.904999999999,1650,55800.0,-46129.095
From Andhra Pradesh-Kurnool-Pattikonda APMC to Uttar Pradesh-Barabanki-Barabanki APMC,FAQ,3,118.03791464062151,16914.0,845.7,16068.3,1850,62200.0,-46131.7
From Karnataka-Kolar-Chintamani APMC to Rajasthan-Jaipur-Chomu FV APMC,Local,3,20.928156598392533,20344.5,1017.225,19327.275,1965,65880.0,-46552.725
From Andhra Pradesh-Annamayya-Valmikipuram APMC to Gujarat-Gir Somnath-Talalagir APMC,FAQ,3,32.82837332554517,9682.8,484.14,9198.66,1650,55800.0,-46601.34
From Andhra Pradesh-Chittor-Punganur APMC to Gujarat-Gir Somnath-Talalagir APMC,FAQ,3,16.729734296069207,9601.2,480.06000000000006,9121.140000000001,1650,55800.0,-46678.86
From Andhra Pradesh-Chittor-Punganur APMC to Uttar Pradesh-Gonda-Nawabganj APMC,FAQ,3,38.55258986928104,20180.399999999998,1009.02,19171.379999999997,1965,65880.0,-46708.62
From Andhra Pradesh-Chittor-Punganur APMC to Uttar Pradesh-Auraiya-Auraiya APMC,FAQ,3,40.88216207660652,14598.0,729.9000000000001,13868.1,1800,60600.0,-46731.9
From Karnataka-Kolar-Kolar APMC to Haryana-Hissar-Barwala(Hisar) APMC,Local,3,526.8137829643327,25659.600000000002,1282.9800000000002,24376.620000000003,2140,71480.0,-47103.38
From Karnataka-Kolar-Chintamani APMC to Haryana-Hissar-Hissar APMC,Local,6,57.12547187541332,25382.100000000002,1269.1050000000002,24112.995000000003,2140,71480.0,-47367.005
From Andhra Pradesh-Chittor-Punganur APMC to Haryana-Jhajar-Bahadurgarh APMC,FAQ,6,59.0315091459563,25164.3,1258.2150000000001,23906.085,2140,71480.0,-47573.915
From Andhra Pradesh-Chittor-Punganur APMC to Uttar Pradesh-Pratapgarh-Pratapgarh APMC,FAQ,3,40.06214699960562,14896.2,744.8100000000001,14151.390000000001,1850,62200.0,-48048.61
From Andhra Pradesh-Chittor-Punganur APMC to Uttar Pradesh-Balrampur-Balrampur APMC,FAQ,3,42.731750246188746,20398.800000000003,1019.9400000000002,19378.860000000004,2015,67480.0,-48101.14
From Karnataka-Kolar-Mulabagilu APMC to Haryana-Hissar-Barwala(Hisar) APMC,Local,3,204.52276343532412,25230.0,1261.5,23968.5,2160,72120.0,-48151.5
From Haryana-Panipat-Panipat APMC to Maharashtra-Kolhapur-Kolhapur APMC,Local,3,9.43072657656631,9218.099999999999,460.905,8757.194999999998,1700,57400.0,-48642.805
From Karnataka-Kolar-Kolar APMC to Gujarat-Porbandar-Porbandar APMC,Local,3,511.7066804515746,15842.100000000002,792.1050000000001,15049.995000000003,1900,63800.0,-48750.005
From Andhra Pradesh-Chittor-Kalikiri APMC to Gujarat-Gir Somnath-Talalagir APMC,FAQ,3,4.123342321087518,8801.699999999999,440.085,8361.615,1720,58040.0,-49678.385
From Rajasthan-Jaipur-Jaipur (F&V) APMC to Andhra Pradesh-Chittor-Palamaner APMC,FAQ,3,74.87020230727127,16787.7,839.3850000000001,15948.315,1980,66360.0,-50411.685
From Karnataka-Kolar-Kolar APMC to Haryana-Fatehabad-Fatehabad APMC,Local,3,530.4495981087471,27980.1,1399.005,26581.094999999998,2315,77080.0,-50498.905
From Andhra Pradesh-Chittor-Punganur APMC to Uttar Pradesh-Fatehpur-Fatehpur APMC,FAQ,3,18.421688278667684,7008.0,350.40000000000003,6657.6,1700,57400.0,-50742.4
From Karnataka-Kolar-Kolar APMC to Rajasthan-Jaipur-Chomu FV APMC,Local,3,581.6313227513227,18911.1,945.555,17965.545,2060,68920.0,-50954.455
From Haryana-Panipat-Panipat APMC to Karnataka-Bangalore-Ramanagara APMC,Local,6,21.46468226484396,30919.800000000003,1545.9900000000002,29373.81,2440,81080.0,-51706.19
From Karnataka-Kolar-Kolar APMC to Haryana-Kurukshetra-Thanesar APMC,Local,4,583.1616758916063,25844.7,1292.2350000000001,24552.465,2290,76280.0,-51727.535
From Punjab-Ludhiana-Ludhiana APMC to Andhra Pradesh-Chittor-Palamaner APMC,FAQ,4,16.864527877397393,26607.0,1330.3500000000001,25276.65,2320,77240.0,-51963.35
From Andhra Pradesh-Chittor-Palamaner APMC to Haryana-Jhajar-Bahadurgarh APMC,FAQ,4,25.959393162393166,23059.5,1152.9750000000001,21906.525,2215,73880.0,-51973.475
From Karnataka-Kolar-Mulabagilu APMC to Haryana-Fatehabad-Fatehabad APMC,Local,3,203.55701051435065,27923.1,1396.155,26526.945,2365,78680.0,-52153.055
From Andhra Pradesh-Annamayya-Valmikipuram APMC to Haryana-Jhajar-Bahadurgarh APMC,FAQ,6,43.90853884484313,22789.8,1139.49,21650.309999999998,2215,73880.0,-52229.69
From Andhra Pradesh-Chittor-Punganur APMC to Haryana-Hissar-Hansi APMC,FAQ,3,44.85859679153577,22102.8,1105.14,20997.66,2200,73400.0,-52402.34
From Haryana-Panipat-Panipat APMC to Karnataka-Chikmagalur-Chikkamagalore APMC,Local,3,22.154555005694984,26668.2,1333.41,25334.79,2340,77880.0,-52545.21
From Andhra Pradesh-Chittor-Kalikiri APMC to Haryana-Jhajar-Bahadurgarh APMC,FAQ,6,5.807452102316074,22429.2,1121.46,21307.74,2215,73880.0,-52572.259999999995
From Karnataka-Kolar-Mulabagilu APMC to Haryana-Kurukshetra-Thanesar APMC,Local,4,194.01779456520583,25914.600000000002,1295.7300000000002,24618.870000000003,2320,77240.0,-52621.13
From Andhra Pradesh-Chittor-Punganur APMC to Uttar Pradesh-Basti-Basti APMC,FAQ,3,45.66689927732611,16668.9,833.4450000000002,15835.455000000002,2050,68600.0,-52764.545
From Andhra Pradesh-Chittor-Palamaner APMC to Haryana-Sonipat-Sonepat APMC,FAQ,3,16.832791938997822,21785.7,1089.285,20696.415,2215,73880.0,-53183.585
"From Andhra Pradesh-Chittor-Palamaner APMC to Haryana-Karnal-New Grain Market(main), Karnal APMC",FAQ,3,14.144009324009323,24877.8,1243.89,23633.91,2310,76920.0,-53286.09
From Punjab-Ludhiana-Ludhiana APMC to Andhra Pradesh-Chittor-Kalikiri APMC,FAQ,4,35.20876393692945,26434.8,1321.74,25113.059999999998,2360,78520.0,-53406.94
From Andhra Pradesh-Annamayya-Valmikipuram APMC to Haryana-Sonipat-Sonepat APMC,FAQ,4,17.035088667445276,20451.0,1022.5500000000001,19428.45,2215,73880.0,-54451.55
From Andhra Pradesh-Chittor-Punganur APMC to Rajasthan-Bhilwara-Bhilwara APMC,FAQ,3,13.342609126984128,11231.699999999999,561.5849999999999,10670.115,1950,65400.0,-54729.885
"From Andhra Pradesh-Annamayya-Valmikipuram APMC to Haryana-Karnal-New Grain Market(main), Karnal APMC",FAQ,5,33.392457758170494,19527.3,976.365,18550.934999999998,2200,73400.0,-54849.065
From Karnataka-Shimoga-Shimoga APMC to Haryana-Kurukshetra-Thanesar APMC,Local,3,27.08054254540323,21703.2,1085.16,20618.04,2265,75480.0,-54861.96
From Andhra Pradesh-Annamayya-Valmikipuram APMC to Haryana-Sirsa-Sirsa APMC,FAQ,3,30.78052630764536,20014.2,1000.71,19013.49,2260,75320.0,-56306.509999999995
From Andhra Pradesh-Chittor-Punganur APMC to Uttar Pradesh-Barabanki-Safdarganj APMC,FAQ,5,24.052662141779788,14485.5,724.2750000000001,13761.225,2100,70200.0,-56438.775
From Andhra Pradesh-Chittor-Punganur APMC to Haryana-Sirsa-Sirsa APMC,FAQ,4,60.44972439064593,19385.1,969.255,18415.844999999998,2250,75000.0,-56584.155
From Andhra Pradesh-Chittor-Kalikiri APMC to Haryana-Sirsa-Sirsa APMC,FAQ,5,5.859605390999639,20003.1,1000.155,19002.945,2280,75960.0,-56957.055
From Andhra Pradesh-Chittor-Palamaner APMC to Haryana-Sirsa-Sirsa APMC,FAQ,3,26.955700292710787,18808.800000000003,940.4400000000002,17868.360000000004,2250,75000.0,-57131.64
From Andhra Pradesh-Chittor-Madanapalli APMC to Haryana-Sonipat-Sonepat APMC,FAQ,3,43.417980520771216,17293.2,864.6600000000001,16428.54,2210,73720.0,-57291.46
From Andhra Pradesh-Chittor-Punganur APMC to Haryana-Kaithal-Kaithal APMC,FAQ,5,32.19457386074529,17303.1,865.155,16437.945,2215,73880.0,-57442.055
From Andhra Pradesh-Chittor-Punganur APMC to Haryana-Faridabad-Ballabhgarh APMC,FAQ,6,63.30446479423899,13863.300000000001,693.1650000000001,13170.135,2120,70840.0,-57669.865
From Andhra Pradesh-Chittor-Madanapalli APMC to Haryana-Jhajar-Bahadurgarh APMC,FAQ,4,81.40757363569287,14514.0,725.7,13788.3,2150,71800.0,-58011.7
From Andhra Pradesh-Annamayya-Valmikipuram APMC to Haryana-Kaithal-Kaithal APMC,FAQ,3,29.972449247740332,15661.199999999999,783.06,14878.14,2200,73400.0,-58521.86
From Punjab-Ludhiana-Ludhiana APMC to Andhra Pradesh-Annamayya-Valmikipuram APMC,FAQ,3,23.197079610791686,20135.7,1006.7850000000001,19128.915,2340,77880.0,-58751.085
"From Andhra Pradesh-Chittor-Madanapalli APMC to Haryana-Karnal-New Grain Market(main), Karnal APMC",FAQ,4,76.58240527511668,16736.1,836.805,15899.294999999998,2250,75000.0,-59100.705
From Karnataka-Kolar-Mulabagilu APMC to Haryana-Hissar-Hissar APMC,Local,5,180.76316723320488,20043.0,1002.1500000000001,19040.85,2350,78200.0,-59159.15
From Haryana-Hissar-Hissar APMC to Karnataka-Bangalore-Ramanagara APMC,Local,4,4.495565904150296,23338.2,1166.91,22171.29,2465,81880.0,-59708.71
From Andhra Pradesh-Chittor-Punganur APMC to Uttar Pradesh-Bulandshahar-Buland Shahr APMC,FAQ,4,33.68201170298628,12579.9,628.995,11950.904999999999,2150,71800.0,-59849.095
From Karnataka-Bangalore-Ramanagara APMC to Haryana-Fatehabad-Fatehabad APMC,Local,3,3.594023569023569,21016.199999999997,1050.81,19965.389999999996,2415,80280.0,-60314.61
From Andhra Pradesh-Annamayya-Valmikipuram APMC to Haryana-Faridabad-Ballabhgarh APMC,FAQ,3,32.98039400213313,11191.2,559.5600000000001,10631.640000000001,2150,71800.0,-61168.36
From Rajasthan-Ajmer-Ajmer(F&V) APMC to Karnataka-Chikmagalur-Kadur APMC,Other,3,132.68174603174603,14011.5,700.575,13310.925,2250,75000.0,-61689.075
From Andhra Pradesh-Annamayya-Valmikipuram APMC to Haryana-Hissar-Hansi APMC,FAQ,3,22.19630872839333,12289.800000000001,614.4900000000001,11675.310000000001,2200,73400.0,-61724.69
From Karnataka-Kolar-Kolar APMC to Haryana-Hissar-Hissar APMC,Local,4,579.5032001718795,17100.3,855.015,16245.285,2350,78200.0,-61954.715
From Rajasthan-Udaipur-Udaipur (F&V) APMC to Karnataka-Chikmagalur-Kadur APMC,Other,3,38.879755129183046,11891.699999999999,594.5849999999999,11297.115,2200,73400.0,-62102.885
From Andhra Pradesh-Chittor-Madanapalli APMC to Haryana-Sirsa-Sirsa APMC,FAQ,4,82.15853546453546,13013.4,650.6700000000001,12362.73,2250,75000.0,-62637.270000000004
From Karnataka-Bangalore-Ramanagara APMC to Haryana-Hissar-Barwala(Hisar) APMC,Local,3,5.876070686705767,18616.5,930.825,17685.675,2420,80440.0,-62754.325
From Andhra Pradesh-Chittor-Kalikiri APMC to Haryana-Faridabad-Ballabhgarh APMC,FAQ,4,7.559666692554624,9428.099999999999,471.405,8956.694999999998,2150,71800.0,-62843.305
From Karnataka-Kolar-Chickkaballapura APMC to Haryana-Kurukshetra-Thanesar APMC,Local,3,11.193877551020408,16136.4,806.82,15329.58,2360,78520.0,-63190.42
From Andhra Pradesh-Chittor-Punganur APMC to Punjab-Kapurthala-Phagwara APMC,FAQ,6,61.469127819941264,23532.6,1176.6299999999999,22355.969999999998,2580,85560.0,-63204.03
From Andhra Pradesh-Chittor-Madanapalli APMC to Haryana-Kaithal-Kaithal APMC,FAQ,3,56.963508421985814,12346.2,617.3100000000001,11728.890000000001,2250,75000.0,-63271.11
From Karnataka-Shimoga-Shimoga APMC to Haryana-Hissar-Barwala(Hisar) APMC,Local,3,31.090793095877455,18936.300000000003,946.8150000000002,17989.485000000004,2450,81400.0,-63410.515
From Karnataka-Kolar-Chintamani APMC to Haryana-Panipat-Panipat APMC,Local,5,43.302949600372244,14622.6,731.1300000000001,13891.470000000001,2350,78200.0,-64308.53
From Karnataka-Kolar-Chickkaballapura APMC to Haryana-Hissar-Barwala(Hisar) APMC,Local,3,15.711163324979116,14086.2,704.3100000000001,13381.890000000001,2350,78200.0,-64818.11
From Haryana-Panipat-Panipat APMC to Karnataka-Chamrajnagar-Gundlupet APMC,Local,3,19.89665145011057,17447.4,872.3700000000001,16575.030000000002,2450,81400.0,-64824.97
From Karnataka-Kolar-Mulabagilu APMC to Haryana-Panipat-Panipat APMC,Local,3,158.4606981199323,13735.199999999999,686.76,13048.439999999999,2350,78200.0,-65151.56
From Andhra Pradesh-Chittor-Palamaner APMC to Punjab-Kapurthala-Phagwara APMC,FAQ,4,23.974532239690134,21302.100000000002,1065.1050000000002,20236.995000000003,2580,85560.0,-65323.005
From Andhra Pradesh-Annamayya-Valmikipuram APMC to Punjab-Kapurthala-Phagwara APMC,FAQ,6,42.995574560830526,20736.9,1036.845,19700.055,2565,85080.0,-65379.945
From Andhra Pradesh-Chittor-Madanapalli APMC to Haryana-Hissar-Hansi APMC,FAQ,3,52.00176282051282,7343.7,367.185,6976.514999999999,2200,73400.0,-66423.485
From Karnataka-Kolar-Kolar APMC to Haryana-Panipat-Panipat APMC,Local,3,590.3353219263234,11995.800000000001,599.7900000000001,11396.01,2350,78200.0,-66803.99
From Andhra Pradesh-Chittor-Madanapalli APMC to Punjab-Kapurthala-Phagwara APMC,FAQ,6,91.22072131460429,16354.8,817.74,15537.06,2550,84600.0,-69062.94
From Karnataka-Shimoga-Shimoga APMC to Haryana-Hissar-Hissar APMC,Local,3,23.823097076668507,12849.0,642.45,12206.55,2450,81400.0,-69193.45
From Haryana-Panipat-Panipat APMC to Karnataka-Kolar-Chickkaballapura APMC,Local,3,11.17979487179487,11999.400000000001,599.9700000000001,11399.430000000002,2450,81400.0,-70000.56999999999
