"mandi_pair","analysis_grade","consecutive_months","avg_quantity_gap_MT","gross_price_advantage","loss_to_spoilage","net_price_advantage","distance_km","total_transport_cost","profit_per_trip"
From Maharashtra-Pune-Pune APMC to Haryana-Kurukshetra-Thanesar APMC,Local,6,205.73276215171052,27381.9,1369.0950000000003,26012.805,1615,54680.0,-28667.195
From Gujarat-Surat-Surat APMC to Haryana-Mahendragarh-Narnaul-Mohindergarh APMC,FAQ,3,405.61452077077075,9816.6,490.83000000000004,9325.77,1100,38200.0,-28874.23
From Gujarat-Mehsana-Mehsana(Mehsana Veg) APMC to Karnataka-Chikmagalur-Chikkamagalore APMC,Local,3,23.87419331368911,23548.2,1177.41,22370.79,1515,51480.0,-29109.21
From Karnataka-Kolar-Mulabagilu APMC to Gujarat-Dahod-Dahod(Veg. Market) APMC,Local,5,183.18267501831502,17858.399999999998,892.92,16965.48,1350,46200.0,-29234.52
From Uttar Pradesh-Jaunpur-Jaunpur APMC to Gujarat-Porbandar-Porbandar APMC,FAQ,3,26.04216584158416,30242.4,1512.1200000000001,28730.280000000002,1720,58040.0,-29309.719999999998
From Andhra Pradesh-Chittor-Punganur APMC to Gujarat-Kheda-Nadiyad(Piplag) APMC,FAQ,4,29.005208959965596,21649.2,1082.46,20566.74,1465,49880.0,-29313.26
From Andhra Pradesh-Kurnool-Pattikonda APMC to Haryana-Jhajar-Bahadurgarh APMC,FAQ,3,144.91331406753537,39774.899999999994,1988.745,37786.15499999999,2010,67320.0,-29533.84500000001
From Gujarat-Surat-Surat APMC to Uttar Pradesh-Barabanki-Safdarganj APMC,FAQ,4,367.32473862026455,18765.899999999998,938.295,17827.605,1390,47480.0,-29652.395
From Punjab-Ludhiana-Ludhiana APMC to Gujarat-Vadodara(Baroda)-Padra APMC,FAQ,5,43.76187910217972,15356.699999999999,767.835,14588.864999999998,1300,44600.0,-30011.135000000002
From Karnataka-Kolar-Chintamani APMC to Maharashtra-Ahmednagar-Rahata APMC,Local,3,33.375401069518716,6020.400000000001,301.02000000000004,5719.38,1025,35800.0,-30080.62
From Maharashtra-Nagpur-Nagpur APMC to Gujarat-Rajkot-Gondal(Veg.market Gondal) APMC,Local,3,25.093906266382415,8844.9,442.245,8402.654999999999,1115,38680.0,-30277.345
"From Uttar Pradesh-Mirzapur-Ahirora APMC to Gujarat-Anand-Anand(Veg,Yard,Anand) APMC",Other,3,119.32387539131616,13035.0,651.75,12383.25,1250,43000.0,-30616.75
"From Karnataka-Shimoga-Shimoga APMC to Gujarat-Gandhinagar-Kalol(Veg,Market,Kalol) APMC",Local,3,16.42425629290618,14554.199999999999,727.71,13826.489999999998,1300,44600.0,-30773.510000000002
From Gujarat-Surat-Surat APMC to Uttar Pradesh-Pratapgarh-Pratapgarh APMC,FAQ,6,382.6783285233285,14492.1,724.605,13767.495,1300,44600.0,-30832.504999999997
From Uttar Pradesh-Mirzapur-Mirzapur APMC to Gujarat-Morbi-Morbi APMC,FAQ,3,20.276474768708415,21625.5,1081.275,20544.225,1515,51480.0,-30935.775
"From Madhya Pradesh-Indore-Indore(F&V) APMC to Karnataka-Bangalore-Binny Mill (F&V), Bangalore APMC",Local,3,42.61123431076261,17536.8,876.84,16659.96,1410,48120.0,-31460.04
From Gujarat-Surat-Surat APMC to Uttar Pradesh-Barabanki-Barabanki APMC,FAQ,4,349.876876419102,16572.3,828.615,15743.685,1390,47480.0,-31736.315000000002
From Maharashtra-Nashik-Pimpalgaon APMC to Haryana-Hissar-Hissar APMC,Local,6,394.0160633773159,18409.5,920.475,17489.025,1450,49400.0,-31910.975
From Uttar Pradesh-Jaunpur-Jaunpur APMC to Gujarat-Morbi-Morbi APMC,FAQ,3,28.081148837775345,22086.600000000002,1104.3300000000002,20982.27,1565,53080.0,-32097.73
